Species,Culture accession number(s),Host name or isolation source,Host Family,Country,Collector,ITS,TEF,ACT,CAL,HIS
Cercosporasp. S,CBS 132599; CPC 10656,Crepidiastrum denticulatum(≡Youngia denticulata),Asteraceae,South Korea: Yangpyeong,H.D. Shin,JX143733,JX143492,JX143246,JX143000,JX142754
Cercospora vignigena,CBS 132611; CPC 10812 (TYPE),Vigna unguiculata(=V. sinensis),Fabaceae,South Korea: Jeongeup,H.D. Shin,JX143734,JX143493,JX143247,JX143001,JX142755
Cercospora vignigena,CPC 1134,Vigna unguiculata(=V. sinensis),Fabaceae,South Africa: Potchefstroom,S. van Wyk,JX143735,JX143494,JX143248,JX143002,JX142756
Cercospora vignigena,MUCC 579; MAFF 237635,Vigna unguiculata(=V. sinensis),Fabaceae,Japan: Gumma,K. Kishi,JX143736,JX143495,JX143249,JX143003,JX142757
Cercospora violae,CBS 251.67; CPC 5079 (TYPE),Viola tricolor,Violaceae,Romania: Cazanele Dunarii,O. Constantinescu,JX143737,JX143496,JX143250,JX143004,JX142758
Cercospora violae,CPC 5368,Viola odorata,Violaceae,New Zealand,C.F. Hill,JX143738,JX143497,JX143251,JX143005,JX142759
Cercospora violae,MUCC 129,Violasp.,Violaceae,Japan: Kochi,J. Nishikawa,JX143739,JX143498,JX143252,JX143006,JX142760
Cercospora violae,MUCC 133,Viola tricolor,Violaceae,Japan: Nagano,J. Nishikawa,JX143740,JX143499,JX143253,JX143007,JX142761
Cercospora violae,MUCC 136,Viola tricolor,Violaceae,Japan: Shizuoka,J. Nishikawa,JX143741,JX143500,JX143254,JX143008,JX142762
Cercospora zeae-maydis,CBS 117755; YA-03; A358,Zea mays,Poaceae,USA: Indiana,B. Fleener,DQ185072,DQ185084,DQ185096,DQ185108,DQ185120
Cercospora zeae-maydis,CBS 117756; DE-97; A359,Zea mays,Poaceae,USA: Indiana,B. Fleener,DQ185073,DQ185085,DQ185097,DQ185109,DQ185121
Cercospora zeae-maydis,CBS 117757; JV-WI-02; A360 (TYPE),Zea mays,Poaceae,USA: Wisconsin,B. Fleener,DQ185074,DQ185086,DQ185098,DQ185110,DQ185122
Cercospora zeae-maydis,CBS 117758; JH-IA-04; A361,Zea mays,Poaceae,USA: Iowa,B. Fleener,DQ185075,DQ185087,DQ185099,DQ185111,DQ185123
Cercospora zeae-maydis,CBS 117759; UC-TN-99; A362,Zea mays,Poaceae,USA: Tennessee,B. Fleener,DQ185076,DQ185088,DQ185100,DQ185112,DQ185124
Cercospora zeae-maydis,CBS 117760; NH-PA-99; A363,Zea mays,Poaceae,USA: Pennsylvania,B. Fleener,DQ185077,DQ185089,DQ185101,DQ185113,DQ185125
Cercospora zeae-maydis,CBS 117761; PR-IN-99; A364,Zea mays,Poaceae,USA: Indiana,B. Fleener,DQ185078,DQ185090,DQ185102,DQ185114,DQ185126
Cercospora zeae-maydis,CBS 117762; DEXTER-MO-00; A365,Zea mays,Poaceae,USA: Missouri,B. Fleener,DQ185079,DQ185091,DQ185103,DQ185115,DQ185127
Cercospora zeae-maydis,CBS 117763; RENBECK-IA-99; A367,Zea mays,Poaceae,USA: Iowa,B. Fleener,DQ185080,DQ185092,DQ185104,DQ185116,DQ185128
Cercospora zeae-maydis,CBS 132668; CPC 12225; CHME 52,Zea mays,Poaceae,China: Liaoning Province,–,JX143742,JX143501,JX143255,JX143009,JX142763
Cercospora zeae-maydis,CBS 132678; CPC 15602,Zea mays,Poaceae,Mexico: Tlacotepec,Ma. de Jesús Yáñez-Morales,JX143743,JX143502,JX143256,JX143010,JX142764
Cercospora zebrina,CBS 108.22; CPC 5091,Medicago arabica(=M. maculata),Fabaceae,–,E.F. Hopkins,JX143744,JX143503,JX143257,JX143011,JX142765
Cercospora zebrina,CBS 112723; CPC 3957,Trifolium repens,Fabaceae,Canada: Ottawa,K.A. Seifert,AY260079,JX143504,JX143258,JX143012,JX142766
Cercospora zebrina,CBS 112736; CPC 3958,Trifolium repens,Fabaceae,Canada: Ottawa,K.A. Seifert,AY260080,JX143505,JX143259,JX143013,JX142767
Cercospora zebrina,CBS 112893; CPC 3955,Trifolium pratense,Fabaceae,Canada: Ottawa,K.A. Seifert,AY260078,JX143506,JX143260,JX143014,JX142768
Cercospora zebrina,CBS 113070; CPC 5367,Trifolium repens,Fabaceae,New Zealand: Blockhouse Bay,C.F. Hill,JX143745,JX143507,JX143261,JX143015,JX142769
Cercospora zebrina,CBS 114359; CPC 10901,Hebesp.,Scrophulariaceae,New Zealand,C.F. Hill,JX143746,JX143508,JX143262,JX143016,JX142770
Cercospora zebrina,CBS 118789; WAC 5106,Trifolium subterraneum,Fabaceae,Australia,M.J. Barbetti,JX143747,JX143509,JX143263,JX143017,JX142771
Cercospora zebrina,CBS 118790; IMI 262766; WA 2030; WAC 7973,Trifolium subterraneum,Fabaceae,Australia,M.J. Barbetti,JX143748,JX143510,JX143264,JX143018,JX142772
Cercospora zebrina,CBS 118791; IMI 264190; WA2054; WAC7993,Trifolium cernuum,Fabaceae,Australia,M.J. Barbetti,JX143749,JX143511,JX143265,JX143019,JX142773
Cercospora zebrina,CBS 129.39; CPC 5078,Trifolium subterraneum,Fabaceae,USA: Wisconsin,–,JX143750,JX143512,JX143266,JX143020,JX142774
Cercospora zebrina,CBS 132650; CPC 10756,Trifolium repens,Fabaceae,South Korea: Namyangju,H.D. Shin,JX143751,JX143513,JX143267,JX143021,JX142775
Cercospora zebrina,CBS 137.56; CPC 5118,Hedysarum coronarium,Fabaceae,Italy,–,JX143752,JX143514,JX143268,JX143022,JX142776
Cercospora zebrina,CBS 537.71; IMI 161108; CPC 5089,Astragalus spruneri,Fabaceae,Romania: Hagieni,O. Constantinescu,JX143753,JX143515,JX143269,JX143023,JX142777
Cercospora zebrina,CPC 5437,Lotus pedunculatus,Fabaceae,New Zealand: Auckland,C.F. Hill,JX143754,JX143516,JX143270,JX143024,JX142778
Cercospora zebrina,CPC 5473,Jacaranda mimosifolia,Bignoniaceae,New Zealand,C.F. Hill,JX143755,JX143517,JX143271,JX143025,JX142779
Cercospora zeina,CBS 118820; CPC 11995 (TYPE),Zea mays,Poaceae,South Africa: Pietermaritzburg,P. Caldwell,DQ185081,DQ185093,DQ185105,DQ185117,DQ185129
Cercospora zeina,CBS 132617; CPC 11998,Zea mays,Poaceae,South Africa: Pietermaritzburg,P. Caldwell,DQ185082,DQ185094,DQ185106,DQ185118,DQ185130
Cercosporacf.zinniae,CBS 132624; CPC 14549,Zinnia elegans,Asteraceae,South Korea: Yangpyeong,H.D. Shin,JX143756,JX143518,JX143272,JX143026,JX142780
Cercosporacf.zinniae,CBS 132676; CPC 15075,–,–,Brazil: Valverde,A.C. Alfenas,JX143757,JX143519,JX143273,JX143027,JX142781
Cercosporacf.zinniae,MUCC 131,Zinnia elegans,Asteraceae,Japan: Shizuoka,J. Nishikawa,JX143758,JX143520,JX143274,JX143028,JX142782
Cercosporacf.zinniae,MUCC 572; MUCNS 215; MAFF 237718,Zinnia elegans,Asteraceae,Japan: Chiba,S. Uematsu,JX143759,JX143521,JX143275,JX143029,JX142783
Septoria provencialis,CBS 118910; CPC 12226,Eucalyptussp.,Myrtaceae,France,P.W. Crous,DQ303096,JX143522,JX143276,JX143030,JX142784
